Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Carousel,3933291,22,143,Public,Influencer,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,8982,video
Video,2354693,24,132,Private,Food Blogger,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,5270,text
Carousel,828569,40,105,Public,Food Blogger,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,9394,text
Carousel,3389056,55,110,Public,Gamer,Instagram,"Paris, France",Not verified,3 posts per week,English,1220,image
Carousel,1491773,30,146,Private,Influencer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,2267,text
Text,2965463,39,60,Public,Brand Ambassador,Facebook,"San Francisco, USA",Not verified,47 post per day,English,670,text
Video,4042685,45,135,Public,Content Creator,Instagram,"New York City, USA",Verified,2 posts per week,English,344,text
Reels,406951,68,146,Public,Gamer,Twitter,"London, UK",Not verified,4 posts per week,English,9047,video
Reels,589707,64,60,Public,User,Goodreads,"Paris, France",Verified,3 posts per week,English,9379,video
Reels,17655,20,57,Public,Brand Ambassador,Instagram,"New York City, USA",Not verified,2 posts per week,English,4015,image
Video,2519290,15,84,Public,User,Spotify,"Los Angeles, USA",Not verified,47 post per day,English,5133,text
Static Image,735261,49,62,Public,Social Activist,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8814,video
Carousel,399623,39,54,Public,Tech Reviewer,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,8635,video
Carousel,2366959,48,139,Public,Travel Blogger,Facebook,"San Jose, USA",Verified,3 posts per week,English,1969,video
Carousel,920060,66,83,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Not verified,47 post per week,English,2479,video
Static Image,3501434,19,51,Public,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,7436,image
Video,53733,21,151,Private,Brand Ambassador,Facebook,"Seattle, USA",Not verified,2 posts per week,English,2269,video
Reels,58132,40,78,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,1678,image
Carousel,2696554,21,97,Public,Tech Reviewer,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,1321,image
Carousel,2898066,43,140,Public,Tech Reviewer,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,6218,image
Text,2408085,59,86,Public,Gamer,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,6079,text
Reels,2215848,39,141,Public,Influencer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,726,text
Video,948872,40,139,Public,Social Activist,Instagram,"London, UK",Not verified,47 post per day,English,1733,video
Static Image,1693591,58,43,Public,Food Blogger,Facebook,"New York City, USA",Verified,4 posts per week,English,9353,image
Reels,772878,45,95,Public,Content Creator,Instagram,"London, UK",Not verified,3 posts per week,English,9001,image
Carousel,329382,66,51,Public,Brand Ambassador,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,6156,video
Carousel,3435135,39,77,Private,Food Blogger,Facebook,"Paris, France",Not verified,2 posts per week,English,8713,image
Static Image,437905,39,97,Private,Influencer,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,6444,text
Video,2153425,60,76,Public,Fitness Enthusiast,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,3308,text
Static Image,540257,68,125,Private,Fitness Enthusiast,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,2339,video
Static Image,2045972,28,105,Public,Influencer,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,5943,video
Carousel,1905380,64,80,Public,Gamer,Instagram,"London, UK",Not verified,47 post per day,English,8896,text
Text,3736738,47,112,Private,User,Facebook,"San Francisco, USA",Not verified,134 posts per week,English,1545,video
Video,1589139,65,55,Private,Fitness Enthusiast,Instagram,"Paris, France",Not verified,135 posts per week,English,7806,text
Reels,575850,31,55,Public,Fitness Enthusiast,Twitter,"New York City, USA",Not verified,136 posts per week,English,2100,text
Text,717589,59,128,Private,Influencer,Spotify,"Los Angeles, USA",Not verified,47 post per day,English,6964,image
Static Image,1934829,58,124,Public,Content Creator,Instagram,"Barcelona, Spain",Not verified,95 posts per week,English,745,video
Static Image,708885,65,107,Public,Social Activist,Instagram,"Silicon Valley, USA",Verified,96 posts per week,English,3331,video
Video,1364116,26,70,Public,Tech Reviewer,Twitter,Yosemite National Park,Verified,3 posts per week,English,6958,text
Video,533385,44,54,Private,Gamer,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,5100,video
Static Image,1727659,63,112,Public,Tech Reviewer,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,5561,image
Carousel,2734144,46,55,Private,Entrepreneur,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,9953,image
Reels,2757853,57,57,Public,Social Activist,Instagram,"Paris, France",Not verified,3 posts per week,English,9655,text
Text,1190639,43,155,Public,Tech Reviewer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,8631,video
Carousel,1724762,40,122,Public,Social Activist,Facebook,"San Francisco, USA",Not verified,48 post per day,English,8970,image
Reels,2452379,33,51,Public,Travel Blogger,Instagram,"New York City, USA",Verified,2 posts per week,English,2733,text
Reels,831076,52,95,Public,Influencer,Twitter,"London, UK",Not verified,4 posts per week,English,2699,video
Reels,1451870,27,116,Public,Travel Blogger,Goodreads,"Paris, France",Verified,3 posts per week,English,1867,text
Static Image,2145815,38,71,Public,Influencer,Instagram,"New York City, USA",Not verified,2 posts per week,English,3892,text
Text,1854184,22,51,Public,Travel Blogger,Spotify,"Los Angeles, USA",Not verified,48 post per day,English,4649,video
Carousel,2975464,50,77,Private,Food Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1174,text
Carousel,862556,25,83,Private,Food Blogger,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,9573,image
Carousel,1203804,56,122,Private,User,Facebook,"San Jose, USA",Verified,3 posts per week,English,9604,text
Video,788117,60,103,Public,User,Instagram,"Los Angeles, USA",Not verified,48 post per week,English,2562,text
Static Image,3179766,73,71,Private,Tech Reviewer,Twitter,"New York City, USA",Verified,4 posts per week,English,7997,video
Reels,3687293,60,48,Private,Brand Ambassador,Facebook,"Seattle, USA",Not verified,2 posts per week,English,5737,text
Video,1749625,69,141,Private,Influencer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,4569,text
Video,3662657,51,80,Public,Food Blogger,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,3644,text
Video,3191463,45,54,Private,Brand Ambassador,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,7931,image
Text,2857482,52,104,Private,Brand Ambassador,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,870,image
Reels,1416335,39,117,Public,Gamer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,617,video
Video,154756,53,134,Private,Tech Reviewer,Instagram,"London, UK",Not verified,48 post per day,English,1744,image
Reels,805500,62,132,Private,Food Blogger,Facebook,"New York City, USA",Verified,4 posts per week,English,2563,video
Video,1754244,71,130,Public,Travel Blogger,Instagram,"London, UK",Not verified,3 posts per week,English,1062,video
Video,1204929,66,109,Public,Food Blogger,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,5484,text
Video,2476712,19,93,Public,Travel Blogger,Facebook,"Paris, France",Not verified,2 posts per week,English,1268,text
Static Image,648976,64,60,Private,Influencer,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,8813,video
Carousel,2852570,31,150,Private,Fitness Enthusiast,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,5018,image
Static Image,4768412,54,137,Public,Brand Ambassador,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,7127,text
Text,1222821,62,138,Public,Tech Reviewer,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,9783,text
Text,1012032,26,58,Public,User,Instagram,"London, UK",Not verified,48 post per day,English,6587,text
Carousel,2364201,28,121,Public,Social Activist,Facebook,"San Francisco, USA",Not verified,137 posts per week,English,534,video
Carousel,104887,51,146,Private,Travel Blogger,Instagram,"Paris, France",Not verified,138 posts per week,English,8543,video
Carousel,2169988,38,120,Public,Fitness Enthusiast,Twitter,"New York City, USA",Not verified,139 posts per week,English,6523,video
Video,2360956,25,75,Public,Food Blogger,Spotify,"Los Angeles, USA",Not verified,48 post per day,English,9267,video
Video,388712,61,68,Private,Entrepreneur,Instagram,"Barcelona, Spain",Not verified,97 posts per week,English,2389,image
Carousel,1608031,53,45,Private,Tech Reviewer,Instagram,"Silicon Valley, USA",Verified,98 posts per week,English,4572,image
Static Image,579369,67,90,Public,User,Twitter,Yosemite National Park,Verified,3 posts per week,English,939,image
Video,1369450,48,77,Private,Entrepreneur,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,6748,text
Video,2777363,62,63,Public,Gamer,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,7724,text
Static Image,1155450,26,112,Private,Entrepreneur,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,238,text
Static Image,1063316,60,75,Public,Food Blogger,Instagram,"Paris, France",Not verified,3 posts per week,English,5438,image
Static Image,2069513,29,89,Public,Gamer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,4768,image
Reels,1061019,44,129,Public,User,Facebook,"San Francisco, USA",Not verified,49 post per day,English,1939,image
Static Image,236615,63,126,Public,Social Activist,Instagram,"New York City, USA",Verified,2 posts per week,English,2310,image
Static Image,232320,43,133,Public,Gamer,Twitter,"London, UK",Not verified,4 posts per week,English,9653,text
Video,167060,30,129,Private,Content Creator,Goodreads,"Paris, France",Verified,3 posts per week,English,6402,text
Static Image,1544207,29,75,Public,User,Instagram,"New York City, USA",Not verified,2 posts per week,English,2595,image
Video,212874,25,110,Private,Food Blogger,Spotify,"Los Angeles, USA",Not verified,49 post per day,English,1840,image
Carousel,394918,58,112,Private,Food Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,2266,text
Reels,849553,44,145,Public,Content Creator,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5062,video
Carousel,681207,42,117,Public,Gamer,Facebook,"San Jose, USA",Verified,3 posts per week,English,2979,image
Carousel,1945840,39,85,Public,Social Activist,Instagram,"Los Angeles, USA",Not verified,49 post per week,English,6756,video
Video,306759,61,83,Public,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,4368,text
Text,4045000,45,113,Public,Social Activist,Facebook,"Seattle, USA",Not verified,2 posts per week,English,5864,video
Carousel,363400,46,114,Public,Tech Reviewer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3111,text
Reels,1103107,43,130,Public,Gamer,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,7124,text
Video,1685695,19,109,Private,Gamer,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,7132,video
Carousel,2293400,30,119,Public,Content Creator,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,2532,text
Static Image,1321868,24,131,Private,Content Creator,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,61,image
Video,4429597,28,143,Public,Brand Ambassador,Instagram,"London, UK",Not verified,49 post per day,English,3225,video
Static Image,2594941,61,92,Public,Content Creator,Facebook,"New York City, USA",Verified,4 posts per week,English,1374,image
Carousel,2344264,46,63,Private,Brand Ambassador,Instagram,"London, UK",Not verified,3 posts per week,English,4929,text
Reels,1407462,22,69,Private,Food Blogger,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,5013,text
Video,3008322,45,127,Public,Tech Reviewer,Facebook,"Paris, France",Not verified,2 posts per week,English,3688,image
Static Image,3325908,30,107,Public,Content Creator,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,7714,image
Carousel,10262,66,85,Public,Gamer,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,1623,video
Video,2478740,33,55,Public,Social Activist,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,26,video
Carousel,2039086,56,60,Public,Brand Ambassador,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,7104,image
Video,4795847,63,130,Public,Tech Reviewer,Instagram,"London, UK",Not verified,49 post per day,English,7292,text
Carousel,1580559,58,92,Public,Food Blogger,Facebook,"San Francisco, USA",Not verified,140 posts per week,English,3945,video
Text,1685227,66,152,Public,Entrepreneur,Instagram,"Paris, France",Not verified,141 posts per week,English,1388,text
Reels,509073,61,94,Public,Fitness Enthusiast,Twitter,"New York City, USA",Not verified,142 posts per week,English,4888,text
Reels,4926712,36,64,Private,Content Creator,Spotify,"Los Angeles, USA",Not verified,49 post per day,English,6260,image
Carousel,758124,30,106,Private,Travel Blogger,Instagram,"Barcelona, Spain",Not verified,99 posts per week,English,7531,image
Reels,2694142,31,106,Private,Travel Blogger,Instagram,"Silicon Valley, USA",Verified,100 posts per week,English,8228,video
Video,3763695,55,52,Private,User,Twitter,Yosemite National Park,Verified,3 posts per week,English,3746,video
Text,2569324,59,63,Public,Social Activist,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,58,video
Reels,2530489,41,94,Public,User,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,4601,video
Reels,3479501,58,99,Private,Food Blogger,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,6301,video
Video,2202813,35,76,Private,Food Blogger,Instagram,"Paris, France",Not verified,3 posts per week,English,2760,image
Video,272453,54,141,Public,Gamer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,2292,text
Static Image,982960,37,99,Public,Food Blogger,Facebook,"San Francisco, USA",Not verified,50 post per day,English,1630,text
Reels,601491,60,119,Public,Tech Reviewer,Instagram,"New York City, USA",Verified,2 posts per week,English,7881,text
Reels,2619616,43,101,Public,Tech Reviewer,Twitter,"London, UK",Not verified,4 posts per week,English,324,image
Static Image,848182,57,96,Public,Brand Ambassador,Goodreads,"Paris, France",Verified,3 posts per week,English,4901,video
Carousel,1850018,30,59,Private,Brand Ambassador,Instagram,"New York City, USA",Not verified,2 posts per week,English,813,video
Static Image,1909978,61,86,Private,Tech Reviewer,Spotify,"Los Angeles, USA",Not verified,50 post per day,English,9251,video
Reels,2134404,46,132,Private,Gamer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8949,video
Video,632318,14,101,Public,User,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5537,text
Carousel,1607195,53,130,Private,Influencer,Facebook,"San Jose, USA",Verified,3 posts per week,English,4359,image
Static Image,858743,56,77,Public,User,Instagram,"Los Angeles, USA",Not verified,50 post per week,English,6303,video
Reels,1508452,19,62,Public,Content Creator,Twitter,"New York City, USA",Verified,4 posts per week,English,379,text
Static Image,1055692,38,104,Public,Gamer,Facebook,"Seattle, USA",Not verified,2 posts per week,English,6453,video
Carousel,479042,27,109,Public,Influencer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,7981,video
Static Image,1251511,45,88,Public,User,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,8975,video
Static Image,2864064,51,144,Private,Influencer,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,9461,text
Static Image,440139,49,127,Public,Travel Blogger,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,1579,text
Static Image,909394,58,128,Public,Tech Reviewer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,8409,image
Static Image,2258762,41,145,Public,Social Activist,Instagram,"London, UK",Not verified,50 post per day,English,9965,text
Video,69876,62,58,Public,User,Facebook,"New York City, USA",Verified,4 posts per week,English,7560,text
Reels,2243607,57,84,Private,Gamer,Instagram,"London, UK",Not verified,3 posts per week,English,88,image
Video,2264874,49,138,Public,Brand Ambassador,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,3839,text
Reels,1364645,19,139,Public,User,Facebook,"Paris, France",Not verified,2 posts per week,English,65,video
Carousel,3081113,48,113,Public,Brand Ambassador,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,8146,text
Carousel,3765227,60,65,Private,Travel Blogger,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,1191,video
Reels,1972523,41,57,Public,Social Activist,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,9707,video
Video,1458235,45,151,Public,Entrepreneur,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,1474,text
Video,2105280,44,152,Public,Social Activist,Instagram,"London, UK",Not verified,50 post per day,English,4302,video
Video,214812,28,90,Public,Brand Ambassador,Facebook,"San Francisco, USA",Not verified,143 posts per week,English,764,video
Static Image,4869385,49,91,Public,Fitness Enthusiast,Instagram,"Paris, France",Not verified,144 posts per week,English,4588,image
Reels,2087377,30,76,Private,Influencer,Twitter,"New York City, USA",Not verified,145 posts per week,English,8132,video
Carousel,2301415,36,106,Public,Food Blogger,Spotify,"Los Angeles, USA",Not verified,50 post per day,English,9120,text
Reels,468865,58,115,Public,Tech Reviewer,Instagram,"Barcelona, Spain",Not verified,101 posts per week,English,9675,text
Reels,689078,22,115,Public,Entrepreneur,Instagram,"Silicon Valley, USA",Verified,102 posts per week,English,8053,video
Carousel,2431463,42,129,Public,Entrepreneur,Twitter,Yosemite National Park,Verified,3 posts per week,English,7679,video
Carousel,2338417,30,131,Public,Fitness Enthusiast,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,556,text
Static Image,1192735,65,86,Public,Entrepreneur,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,650,text
Video,328489,23,96,Public,Travel Blogger,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,4634,image
Text,4054952,53,80,Public,Tech Reviewer,Instagram,"Paris, France",Not verified,3 posts per week,English,639,image
Text,1929044,50,153,Public,Fitness Enthusiast,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,9592,video
Static Image,4247013,35,94,Private,Social Activist,Facebook,"San Francisco, USA",Not verified,51 post per day,English,342,image
Reels,4687277,22,117,Private,Entrepreneur,Instagram,"New York City, USA",Verified,2 posts per week,English,1571,image
Static Image,2046598,70,70,Private,Tech Reviewer,Twitter,"London, UK",Not verified,4 posts per week,English,552,text
Video,2449633,49,101,Public,Influencer,Goodreads,"Paris, France",Verified,3 posts per week,English,1736,video
Carousel,3412675,55,108,Public,Brand Ambassador,Instagram,"New York City, USA",Not verified,2 posts per week,English,6544,text
Reels,3983122,28,50,Public,Influencer,Spotify,"Los Angeles, USA",Not verified,51 post per day,English,9022,video
Video,3033516,27,75,Public,User,Instagram,"San Francisco, USA",Verified,3 posts per week,English,2601,image
Reels,1009041,36,138,Public,User,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,7941,image
Static Image,1133138,32,147,Private,Travel Blogger,Facebook,"San Jose, USA",Verified,3 posts per week,English,2915,image
Static Image,2494223,64,84,Private,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,51 post per week,English,3829,video
Carousel,86873,36,57,Private,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,713,video
Reels,3678436,39,142,Public,Fitness Enthusiast,Facebook,"Seattle, USA",Not verified,2 posts per week,English,7631,image
Reels,2244459,11,65,Public,Entrepreneur,Instagram,"Rome, Italy",Not verified,2 posts per week,English,453,video
Carousel,2307890,43,95,Public,Content Creator,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,9195,text
Carousel,2017916,35,55,Public,Brand Ambassador,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,8384,image
Video,840175,61,149,Public,Fitness Enthusiast,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,9588,image
Reels,51389,64,76,Private,Travel Blogger,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,8110,text
Static Image,583314,25,55,Public,Fitness Enthusiast,Instagram,"London, UK",Not verified,51 post per day,English,1130,image
Reels,4202428,36,131,Public,Social Activist,Facebook,"New York City, USA",Verified,4 posts per week,English,9616,image
Text,926655,23,134,Public,Travel Blogger,Instagram,"London, UK",Not verified,3 posts per week,English,2112,image
Reels,379492,62,75,Public,Influencer,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,9398,text
Reels,2035254,29,103,Public,Brand Ambassador,Facebook,"Paris, France",Not verified,2 posts per week,English,3922,image
Video,2798536,28,111,Public,Entrepreneur,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,9342,text
Video,1803758,48,151,Public,Fitness Enthusiast,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,6733,image
Carousel,4307319,30,97,Private,Fitness Enthusiast,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,8654,video
Video,2236935,38,116,Private,Content Creator,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,3803,text
Reels,600782,64,142,Public,Content Creator,Instagram,"London, UK",Not verified,51 post per day,English,2535,text
Reels,3838103,40,109,Public,Brand Ambassador,Facebook,"San Francisco, USA",Not verified,146 posts per week,English,6318,text
Carousel,59534,66,145,Public,Travel Blogger,Instagram,"Paris, France",Not verified,147 posts per week,English,7885,text
Carousel,2905068,54,116,Private,Tech Reviewer,Twitter,"New York City, USA",Not verified,148 posts per week,English,7822,text
Video,16601,69,72,Public,Brand Ambassador,Spotify,"Los Angeles, USA",Not verified,51 post per day,English,2428,video
Reels,1401935,33,141,Public,Influencer,Instagram,"Barcelona, Spain",Not verified,103 posts per week,English,971,text
Reels,1903533,65,104,Public,Fitness Enthusiast,Instagram,"Silicon Valley, USA",Verified,104 posts per week,English,8061,text
Video,262137,30,118,Public,Fitness Enthusiast,Twitter,Yosemite National Park,Verified,3 posts per week,English,329,image
Video,1813666,26,69,Private,User,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,4948,video
Carousel,2144425,61,111,Public,Brand Ambassador,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,4651,image
Static Image,3642078,55,72,Private,Fitness Enthusiast,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,5980,video
Carousel,1658128,35,130,Public,User,Instagram,"Paris, France",Not verified,3 posts per week,English,854,text
Video,195815,57,75,Public,Fitness Enthusiast,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,9626,video
Static Image,3617620,68,54,Private,Fitness Enthusiast,Facebook,"San Francisco, USA",Not verified,52 post per day,English,3370,video
Text,765969,29,146,Private,Food Blogger,Instagram,"New York City, USA",Verified,2 posts per week,English,5996,text
Carousel,1242694,29,60,Public,Fitness Enthusiast,Twitter,"London, UK",Not verified,4 posts per week,English,2519,image
Carousel,2952480,52,62,Public,Tech Reviewer,Goodreads,"Paris, France",Verified,3 posts per week,English,8185,text
Reels,1959381,59,141,Private,Content Creator,Instagram,"New York City, USA",Not verified,2 posts per week,English,68,image
Reels,260967,33,48,Public,Travel Blogger,Spotify,"Los Angeles, USA",Not verified,52 post per day,English,2297,text
Carousel,2177644,38,58,Public,Gamer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8555,image
Text,1190159,29,121,Private,Brand Ambassador,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,5160,text
Carousel,2720083,35,75,Public,Entrepreneur,Facebook,"San Jose, USA",Verified,3 posts per week,English,6031,image
Reels,1449128,53,54,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,52 post per week,English,7981,video
Video,3388111,54,101,Public,User,Twitter,"New York City, USA",Verified,4 posts per week,English,6416,image
Reels,3220911,65,114,Public,Social Activist,Facebook,"Seattle, USA",Not verified,2 posts per week,English,1156,video
Video,3523941,70,53,Private,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3834,text
Carousel,1545206,61,125,Public,Content Creator,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,42,video
Reels,1432468,51,121,Public,Travel Blogger,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,5524,image
Carousel,222296,48,111,Private,Entrepreneur,Goodreads,"Sydney, Australia",Verified,3 posts per week,English,6514,text
Carousel,1019052,32,82,Public,Food Blogger,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,9792,text
Text,1335496,60,142,Public,Entrepreneur,Instagram,"London, UK",Not verified,52 post per day,English,3890,video
Carousel,953162,43,61,Public,Travel Blogger,Facebook,"New York City, USA",Verified,4 posts per week,English,580,video
Static Image,1872508,73,118,Public,Travel Blogger,Instagram,"London, UK",Not verified,3 posts per week,English,1553,text
Reels,926877,38,68,Private,Social Activist,Twitter,"Sydney, Australia",Not verified,4 posts per week,English,4376,image
Reels,2012319,52,72,Public,Content Creator,Facebook,"Paris, France",Not verified,2 posts per week,English,7759,video
Video,2074296,20,109,Public,Tech Reviewer,Instagram,"Barcelona, Spain",Verified,3 posts per week,English,139,video
Carousel,1082401,20,125,Public,Food Blogger,Twitter,"Tokyo, Japan",Not verified,2 posts per week,English,4453,video
Static Image,2822811,36,139,Public,Gamer,Facebook,"Los Angeles, USA",Not verified,3 posts per week,English,271,video
Text,549851,27,78,Public,Social Activist,Twitter,"Sydney, Australia",Not verified,2 posts per week,English,8238,image
Static Image,792016,58,146,Public,Food Blogger,Instagram,"London, UK",Not verified,52 post per day,English,3906,video
Text,2939613,31,152,Private,Influencer,Facebook,"San Francisco, USA",Not verified,149 posts per week,English,4437,text
Carousel,2635791,67,47,Public,User,Instagram,"Paris, France",Not verified,150 posts per week,English,9919,video
Reels,3204294,43,86,Private,Influencer,Twitter,"New York City, USA",Not verified,151 posts per week,English,4293,video
Reels,2521401,52,141,Public,Tech Reviewer,Spotify,"Los Angeles, USA",Not verified,52 post per day,English,8225,video
Video,1638737,35,139,Private,Travel Blogger,Instagram,"Barcelona, Spain",Not verified,105 posts per week,English,1038,video
Text,2203253,34,58,Public,Brand Ambassador,Instagram,"Silicon Valley, USA",Verified,106 posts per week,English,7677,video
Reels,2476694,31,117,Public,Brand Ambassador,Twitter,Yosemite National Park,Verified,3 posts per week,English,8416,image
Static Image,1688914,66,122,Public,Entrepreneur,YouTube,"Bangkok, Thailand",Not verified,5 posts per week,English,4280,text
Carousel,2199829,45,129,Private,Content Creator,Instagram,"Bali, Indonesia",Not verified,2 posts per week,English,4415,text
Static Image,2239435,56,72,Public,Brand Ambassador,Twitch,"Los Angeles, USA",Verified,4 posts per week,English,7201,video
Reels,2698320,22,92,Public,Gamer,Instagram,"Paris, France",Not verified,3 posts per week,English,9610,video
Text,1114252,29,72,Public,Influencer,Twitter,"Bali, Indonesia",Not verified,2 posts per week,English,3215,text
Static Image,3573898,53,118,Public,Content Creator,Facebook,"San Francisco, USA",Not verified,53 post per day,English,3860,image
Reels,1492328,40,110,Private,Brand Ambassador,Instagram,"New York City, USA",Verified,2 posts per week,English,1245,image
Carousel,1522022,57,32,Public,Gamer,Twitter,"London, UK",Not verified,4 posts per week,English,3631,text
Carousel,3669986,31,104,Public,Tech Reviewer,Goodreads,"Paris, France",Verified,3 posts per week,English,29,video
Carousel,3359354,32,149,Public,Food Blogger,Instagram,"New York City, USA",Not verified,2 posts per week,English,1931,video
Reels,2005296,46,124,Public,Food Blogger,Spotify,"Los Angeles, USA",Not verified,53 post per day,English,6598,text
Video,2709453,23,163,Public,Food Blogger,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1134,video
Static Image,1710659,46,166,Public,Entrepreneur,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,4565,image
Static Image,881115,33,95,Public,Fitness Enthusiast,Facebook,"San Jose, USA",Verified,3 posts per week,English,1473,video
Carousel,403773,64,113,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,53 post per week,English,7272,text
Video,98528,48,92,Public,Entrepreneur,Twitter,"New York City, USA",Verified,4 posts per week,English,4719,image
Video,2687225,68,66,Public,User,Facebook,"Seattle, USA",Not verified,2 posts per week,English,9237,text
Carousel,3710050,62,125,Public,Content Creator,Instagram,"Rome, Italy",Not verified,2 posts per week,English,9940,image
Video,2558291,41,49,Public,Influencer,Twitch,"Tokyo, Japan",Not verified,3 posts per week,English,4977,image
Static Image,1206203,79,95,Private,Fitness Enthusiast,YouTube,"Los Angeles, USA",Not verified,4 posts per week,English,6870,image
